common_name,year,total_checklists,checklists_with_species,prop_checklists
American Crow,2010,26,3,0.11538461538461539
American Crow,2011,120,12,0.1
American Crow,2012,73,13,0.1780821917808219
American Crow,2013,78,16,0.20512820512820512
American Crow,2014,233,43,0.18454935622317598
American Crow,2015,376,92,0.24468085106382978
American Crow,2016,384,99,0.2578125
American Crow,2017,486,159,0.3271604938271605
American Crow,2018,528,142,0.2689393939393939
American Crow,2019,592,156,0.2635135135135135
American Crow,2020,403,88,0.21836228287841192
American Crow,2021,450,112,0.24888888888888888
American Crow,2022,637,176,0.27629513343799056
American Crow,2023,771,234,0.3035019455252918
American Crow,2024,823,227,0.275820170109356
American Crow,2025,834,234,0.2805755395683453
Bald Eagle,2010,26,2,0.07692307692307693
Bald Eagle,2011,120,3,0.025
Bald Eagle,2012,73,9,0.1232876712328767
Bald Eagle,2013,78,8,0.10256410256410256
Bald Eagle,2014,233,6,0.02575107296137339
Bald Eagle,2015,376,17,0.04521276595744681
Bald Eagle,2016,384,20,0.052083333333333336
Bald Eagle,2017,486,11,0.02263374485596708
Bald Eagle,2018,528,28,0.05303030303030303
Bald Eagle,2019,592,44,0.07432432432432433
Bald Eagle,2020,403,27,0.06699751861042183
Bald Eagle,2021,450,37,0.08222222222222222
Bald Eagle,2022,637,57,0.08948194662480377
Bald Eagle,2023,771,53,0.06874189364461739
Bald Eagle,2024,823,51,0.061968408262454436
Bald Eagle,2025,834,64,0.07673860911270983
Black-capped Chickadee,2010,26,3,0.11538461538461539
Black-capped Chickadee,2011,120,12,0.1
Black-capped Chickadee,2012,73,11,0.1506849315068493
Black-capped Chickadee,2013,78,14,0.1794871794871795
Black-capped Chickadee,2014,233,51,0.21888412017167383
Black-capped Chickadee,2015,376,64,0.1702127659574468
Black-capped Chickadee,2016,384,81,0.2109375
Black-capped Chickadee,2017,486,109,0.2242798353909465
Black-capped Chickadee,2018,528,83,0.1571969696969697
Black-capped Chickadee,2019,592,113,0.19087837837837837
Black-capped Chickadee,2020,403,48,0.11910669975186104
Black-capped Chickadee,2021,450,53,0.11777777777777777
Black-capped Chickadee,2022,637,96,0.15070643642072212
Black-capped Chickadee,2023,771,101,0.1309987029831388
Black-capped Chickadee,2024,823,142,0.17253948967193194
Black-capped Chickadee,2025,834,124,0.1486810551558753
Black-chinned Hummingbird,2010,26,0,0
Black-chinned Hummingbird,2011,120,0,0
Black-chinned Hummingbird,2012,73,0,0
Black-chinned Hummingbird,2013,78,0,0
Black-chinned Hummingbird,2014,233,0,0
Black-chinned Hummingbird,2015,376,3,0.007978723404255319
Black-chinned Hummingbird,2016,384,2,0.005208333333333333
Black-chinned Hummingbird,2017,486,0,0
Black-chinned Hummingbird,2018,528,3,0.005681818181818182
Black-chinned Hummingbird,2019,592,0,0
Black-chinned Hummingbird,2020,403,1,0.0024813895781637717
Black-chinned Hummingbird,2021,450,1,0.0022222222222222222
Black-chinned Hummingbird,2022,637,2,0.0031397174254317113
Black-chinned Hummingbird,2023,771,4,0.005188067444876783
Black-chinned Hummingbird,2024,823,9,0.010935601458080195
Black-chinned Hummingbird,2025,834,3,0.0035971223021582736
Common Loon,2010,26,1,0.038461538461538464
Common Loon,2011,120,8,0.06666666666666667
Common Loon,2012,73,11,0.1506849315068493
Common Loon,2013,78,5,0.0641025641025641
Common Loon,2014,233,7,0.030042918454935622
Common Loon,2015,376,27,0.07180851063829788
Common Loon,2016,384,38,0.09895833333333333
Common Loon,2017,486,47,0.09670781893004116
Common Loon,2018,528,67,0.1268939393939394
Common Loon,2019,592,78,0.13175675675675674
Common Loon,2020,403,70,0.17369727047146402
Common Loon,2021,450,92,0.20444444444444446
Common Loon,2022,637,111,0.17425431711145997
Common Loon,2023,771,157,0.20363164721141375
Common Loon,2024,823,131,0.1591737545565006
Common Loon,2025,834,137,0.1642685851318945
Common Raven,2010,26,5,0.19230769230769232
Common Raven,2011,120,25,0.20833333333333334
Common Raven,2012,73,24,0.3287671232876712
Common Raven,2013,78,27,0.34615384615384615
Common Raven,2014,233,83,0.3562231759656652
Common Raven,2015,376,127,0.3377659574468085
Common Raven,2016,384,119,0.3098958333333333
Common Raven,2017,486,155,0.31893004115226337
Common Raven,2018,528,205,0.38825757575757575
Common Raven,2019,592,225,0.38006756756756754
Common Raven,2020,403,147,0.36476426799007444
Common Raven,2021,450,136,0.3022222222222222
Common Raven,2022,637,190,0.29827315541601257
Common Raven,2023,771,231,0.29961089494163423
Common Raven,2024,823,229,0.2782503037667072
Common Raven,2025,834,214,0.2565947242206235
Golden Eagle,2010,26,0,0
Golden Eagle,2011,120,0,0
Golden Eagle,2012,73,0,0
Golden Eagle,2013,78,1,0.01282051282051282
Golden Eagle,2014,233,0,0
Golden Eagle,2015,376,1,0.0026595744680851063
Golden Eagle,2016,384,5,0.013020833333333334
Golden Eagle,2017,486,1,0.00205761316872428
Golden Eagle,2018,528,4,0.007575757575757576
Golden Eagle,2019,592,2,0.0033783783783783786
Golden Eagle,2020,403,0,0
Golden Eagle,2021,450,1,0.0022222222222222222
Golden Eagle,2022,637,4,0.006279434850863423
Golden Eagle,2023,771,0,0
Golden Eagle,2024,823,2,0.002430133657351154
Golden Eagle,2025,834,1,0.001199040767386091
Great Horned Owl,2010,26,0,0
Great Horned Owl,2011,120,0,0
Great Horned Owl,2012,73,1,0.0136986301369863
Great Horned Owl,2013,78,0,0
Great Horned Owl,2014,233,1,0.004291845493562232
Great Horned Owl,2015,376,1,0.0026595744680851063
Great Horned Owl,2016,384,0,0
Great Horned Owl,2017,486,1,0.00205761316872428
Great Horned Owl,2018,528,1,0.001893939393939394
Great Horned Owl,2019,592,0,0
Great Horned Owl,2020,403,0,0
Great Horned Owl,2021,450,2,0.0044444444444444444
Great Horned Owl,2022,637,0,0
Great Horned Owl,2023,771,0,0
Great Horned Owl,2024,823,1,0.001215066828675577
Great Horned Owl,2025,834,1,0.001199040767386091
Marsh Wren,2010,26,1,0.038461538461538464
Marsh Wren,2011,120,2,0.016666666666666666
Marsh Wren,2012,73,1,0.0136986301369863
Marsh Wren,2013,78,7,0.08974358974358974
Marsh Wren,2014,233,6,0.02575107296137339
Marsh Wren,2015,376,11,0.02925531914893617
Marsh Wren,2016,384,3,0.0078125
Marsh Wren,2017,486,16,0.03292181069958848
Marsh Wren,2018,528,8,0.015151515151515152
Marsh Wren,2019,592,6,0.010135135135135136
Marsh Wren,2020,403,10,0.02481389578163772
Marsh Wren,2021,450,6,0.013333333333333334
Marsh Wren,2022,637,20,0.03139717425431711
Marsh Wren,2023,771,10,0.01297016861219196
Marsh Wren,2024,823,24,0.02916160388821385
Marsh Wren,2025,834,35,0.04196642685851319
Mountain Chickadee,2010,26,0,0
Mountain Chickadee,2011,120,8,0.06666666666666667
Mountain Chickadee,2012,73,10,0.136986301369863
Mountain Chickadee,2013,78,6,0.07692307692307693
Mountain Chickadee,2014,233,7,0.030042918454935622
Mountain Chickadee,2015,376,11,0.02925531914893617
Mountain Chickadee,2016,384,25,0.06510416666666667
Mountain Chickadee,2017,486,32,0.06584362139917696
Mountain Chickadee,2018,528,35,0.06628787878787878
Mountain Chickadee,2019,592,36,0.060810810810810814
Mountain Chickadee,2020,403,27,0.06699751861042183
Mountain Chickadee,2021,450,39,0.08666666666666667
Mountain Chickadee,2022,637,43,0.06750392464678179
Mountain Chickadee,2023,771,84,0.10894941634241245
Mountain Chickadee,2024,823,98,0.11907654921020656
Mountain Chickadee,2025,834,83,0.09952038369304557
Northern Flicker,2010,26,5,0.19230769230769232
Northern Flicker,2011,120,8,0.06666666666666667
Northern Flicker,2012,73,15,0.2054794520547945
Northern Flicker,2013,78,9,0.11538461538461539
Northern Flicker,2014,233,22,0.0944206008583691
Northern Flicker,2015,376,52,0.13829787234042554
Northern Flicker,2016,384,47,0.12239583333333333
Northern Flicker,2017,486,44,0.09053497942386832
Northern Flicker,2018,528,51,0.09659090909090909
Northern Flicker,2019,592,67,0.11317567567567567
Northern Flicker,2020,403,45,0.11166253101736973
Northern Flicker,2021,450,44,0.09777777777777778
Northern Flicker,2022,637,95,0.14913657770800628
Northern Flicker,2023,771,114,0.14785992217898833
Northern Flicker,2024,823,105,0.1275820170109356
Northern Flicker,2025,834,113,0.1354916067146283
Northern House Wren,2010,26,0,0
Northern House Wren,2011,120,0,0
Northern House Wren,2012,73,1,0.0136986301369863
Northern House Wren,2013,78,0,0
Northern House Wren,2014,233,1,0.004291845493562232
Northern House Wren,2015,376,1,0.0026595744680851063
Northern House Wren,2016,384,3,0.0078125
Northern House Wren,2017,486,3,0.006172839506172839
Northern House Wren,2018,528,1,0.001893939393939394
Northern House Wren,2019,592,3,0.005067567567567568
Northern House Wren,2020,403,4,0.009925558312655087
Northern House Wren,2021,450,1,0.0022222222222222222
Northern House Wren,2022,637,3,0.004709576138147566
Northern House Wren,2023,771,13,0.016861219195849545
Northern House Wren,2024,823,7,0.00850546780072904
Northern House Wren,2025,834,2,0.002398081534772182
Northern Pygmy-Owl,2010,26,0,0
Northern Pygmy-Owl,2011,120,0,0
Northern Pygmy-Owl,2012,73,0,0
Northern Pygmy-Owl,2013,78,0,0
Northern Pygmy-Owl,2014,233,0,0
Northern Pygmy-Owl,2015,376,1,0.0026595744680851063
Northern Pygmy-Owl,2016,384,1,0.0026041666666666665
Northern Pygmy-Owl,2017,486,0,0
Northern Pygmy-Owl,2018,528,1,0.001893939393939394
Northern Pygmy-Owl,2019,592,1,0.0016891891891891893
Northern Pygmy-Owl,2020,403,0,0
Northern Pygmy-Owl,2021,450,0,0
Northern Pygmy-Owl,2022,637,0,0
Northern Pygmy-Owl,2023,771,0,0
Northern Pygmy-Owl,2024,823,3,0.0036452004860267314
Northern Pygmy-Owl,2025,834,0,0
Pacific Wren,2010,26,4,0.15384615384615385
Pacific Wren,2011,120,21,0.175
Pacific Wren,2012,73,2,0.0273972602739726
Pacific Wren,2013,78,4,0.05128205128205128
Pacific Wren,2014,233,25,0.1072961373390558
Pacific Wren,2015,376,14,0.03723404255319149
Pacific Wren,2016,384,38,0.09895833333333333
Pacific Wren,2017,486,17,0.03497942386831276
Pacific Wren,2018,528,26,0.04924242424242424
Pacific Wren,2019,592,17,0.028716216216216218
Pacific Wren,2020,403,27,0.06699751861042183
Pacific Wren,2021,450,34,0.07555555555555556
Pacific Wren,2022,637,23,0.03610675039246468
Pacific Wren,2023,771,35,0.04539559014267185
Pacific Wren,2024,823,46,0.05589307411907655
Pacific Wren,2025,834,34,0.0407673860911271
Pileated Woodpecker,2010,26,2,0.07692307692307693
Pileated Woodpecker,2011,120,0,0
Pileated Woodpecker,2012,73,4,0.0547945205479452
Pileated Woodpecker,2013,78,6,0.07692307692307693
Pileated Woodpecker,2014,233,19,0.0815450643776824
Pileated Woodpecker,2015,376,22,0.05851063829787234
Pileated Woodpecker,2016,384,10,0.026041666666666668
Pileated Woodpecker,2017,486,21,0.043209876543209874
Pileated Woodpecker,2018,528,39,0.07386363636363637
Pileated Woodpecker,2019,592,40,0.06756756756756757
Pileated Woodpecker,2020,403,19,0.04714640198511166
Pileated Woodpecker,2021,450,21,0.04666666666666667
Pileated Woodpecker,2022,637,33,0.05180533751962323
Pileated Woodpecker,2023,771,39,0.05058365758754864
Pileated Woodpecker,2024,823,68,0.08262454434993925
Pileated Woodpecker,2025,834,37,0.04436450839328537
Red-breasted Sapsucker,2010,26,0,0
Red-breasted Sapsucker,2011,120,0,0
Red-breasted Sapsucker,2012,73,0,0
Red-breasted Sapsucker,2013,78,1,0.01282051282051282
Red-breasted Sapsucker,2014,233,0,0
Red-breasted Sapsucker,2015,376,1,0.0026595744680851063
Red-breasted Sapsucker,2016,384,0,0
Red-breasted Sapsucker,2017,486,1,0.00205761316872428
Red-breasted Sapsucker,2018,528,0,0
Red-breasted Sapsucker,2019,592,0,0
Red-breasted Sapsucker,2020,403,0,0
Red-breasted Sapsucker,2021,450,1,0.0022222222222222222
Red-breasted Sapsucker,2022,637,0,0
Red-breasted Sapsucker,2023,771,1,0.0012970168612191958
Red-breasted Sapsucker,2024,823,0,0
Red-breasted Sapsucker,2025,834,1,0.001199040767386091
Red-naped Sapsucker,2010,26,3,0.11538461538461539
Red-naped Sapsucker,2011,120,8,0.06666666666666667
Red-naped Sapsucker,2012,73,6,0.0821917808219178
Red-naped Sapsucker,2013,78,1,0.01282051282051282
Red-naped Sapsucker,2014,233,18,0.07725321888412018
Red-naped Sapsucker,2015,376,41,0.10904255319148937
Red-naped Sapsucker,2016,384,51,0.1328125
Red-naped Sapsucker,2017,486,32,0.06584362139917696
Red-naped Sapsucker,2018,528,19,0.03598484848484849
Red-naped Sapsucker,2019,592,32,0.05405405405405406
Red-naped Sapsucker,2020,403,29,0.07196029776674938
Red-naped Sapsucker,2021,450,14,0.03111111111111111
Red-naped Sapsucker,2022,637,22,0.03453689167974882
Red-naped Sapsucker,2023,771,31,0.040207522697795074
Red-naped Sapsucker,2024,823,40,0.04860267314702309
Red-naped Sapsucker,2025,834,22,0.026378896882494004
Rock Wren,2010,26,0,0
Rock Wren,2011,120,0,0
Rock Wren,2012,73,0,0
Rock Wren,2013,78,0,0
Rock Wren,2014,233,0,0
Rock Wren,2015,376,0,0
Rock Wren,2016,384,0,0
Rock Wren,2017,486,0,0
Rock Wren,2018,528,0,0
Rock Wren,2019,592,0,0
Rock Wren,2020,403,0,0
Rock Wren,2021,450,1,0.0022222222222222222
Rock Wren,2022,637,0,0
Rock Wren,2023,771,1,0.0012970168612191958
Rock Wren,2024,823,1,0.001215066828675577
Rock Wren,2025,834,1,0.001199040767386091
Rufous Hummingbird,2010,26,6,0.23076923076923078
Rufous Hummingbird,2011,120,11,0.09166666666666666
Rufous Hummingbird,2012,73,8,0.1095890410958904
Rufous Hummingbird,2013,78,6,0.07692307692307693
Rufous Hummingbird,2014,233,114,0.4892703862660944
Rufous Hummingbird,2015,376,167,0.4441489361702128
Rufous Hummingbird,2016,384,175,0.4557291666666667
Rufous Hummingbird,2017,486,213,0.4382716049382716
Rufous Hummingbird,2018,528,204,0.38636363636363635
Rufous Hummingbird,2019,592,200,0.33783783783783783
Rufous Hummingbird,2020,403,82,0.20347394540942929
Rufous Hummingbird,2021,450,72,0.16
Rufous Hummingbird,2022,637,91,0.14285714285714285
Rufous Hummingbird,2023,771,112,0.14526588845654995
Rufous Hummingbird,2024,823,158,0.1919805589307412
Rufous Hummingbird,2025,834,184,0.22062350119904076
Steller's Jay,2010,26,0,0
Steller's Jay,2011,120,4,0.03333333333333333
Steller's Jay,2012,73,1,0.0136986301369863
Steller's Jay,2013,78,0,0
Steller's Jay,2014,233,2,0.008583690987124463
Steller's Jay,2015,376,5,0.013297872340425532
Steller's Jay,2016,384,3,0.0078125
Steller's Jay,2017,486,14,0.02880658436213992
Steller's Jay,2018,528,9,0.017045454545454544
Steller's Jay,2019,592,20,0.033783783783783786
Steller's Jay,2020,403,14,0.034739454094292806
Steller's Jay,2021,450,10,0.022222222222222223
Steller's Jay,2022,637,34,0.05337519623233909
Steller's Jay,2023,771,42,0.054474708171206226
Steller's Jay,2024,823,33,0.040097205346294046
Steller's Jay,2025,834,16,0.019184652278177457
Western Meadowlark,2010,26,0,0
Western Meadowlark,2011,120,0,0
Western Meadowlark,2012,73,1,0.0136986301369863
Western Meadowlark,2013,78,1,0.01282051282051282
Western Meadowlark,2014,233,2,0.008583690987124463
Western Meadowlark,2015,376,7,0.018617021276595744
Western Meadowlark,2016,384,2,0.005208333333333333
Western Meadowlark,2017,486,4,0.00823045267489712
Western Meadowlark,2018,528,0,0
Western Meadowlark,2019,592,0,0
Western Meadowlark,2020,403,0,0
Western Meadowlark,2021,450,2,0.0044444444444444444
Western Meadowlark,2022,637,8,0.012558869701726845
Western Meadowlark,2023,771,1,0.0012970168612191958
Western Meadowlark,2024,823,2,0.002430133657351154
Western Meadowlark,2025,834,1,0.001199040767386091
